"INCP Legal, Social and Welfare Professionals Total Personal Income (weekly)","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500 or more ($182,000 or more)",Total,Average,Round Down,Return Val
Bonnells Bay - Silverwater,0,0,0,3,0,4,6,14,6,14,7,7,0,0,61,1426.639344,1426,"$1,250-$1,499 ($65,000-$77,999)"
Edgeworth - Cameron Park,5,0,0,0,0,7,10,17,22,26,11,14,0,4,116,1498.491379,1498,"$1,250-$1,499 ($65,000-$77,999)"
Morisset - Cooranbong,0,6,0,11,9,6,13,23,27,28,15,11,0,0,149,1303.020134,1303,"$1,250-$1,499 ($65,000-$77,999)"
Toronto - Awaba,0,0,0,3,8,3,5,18,15,12,21,24,3,7,119,1720.588235,1720,"$1,500-$1,749 ($78,000-$90,999)"
Wangi Wangi - Rathmines,0,0,5,0,3,8,3,11,9,4,6,15,0,3,67,1445.522388,1445,"$1,250-$1,499 ($65,000-$77,999)"
West Wallsend - Barnsley - Killingworth,0,0,0,0,0,7,4,5,3,16,3,8,0,0,46,1454.891304,1454,"$1,250-$1,499 ($65,000-$77,999)"
Adamstown - Kotara,0,0,5,6,8,9,21,24,48,36,37,46,11,14,265,1696.132075,1696,"$1,500-$1,749 ($78,000-$90,999)"
Beresfield - Hexham,0,0,0,0,0,3,4,3,9,10,4,0,0,0,33,1447.727273,1447,"$1,250-$1,499 ($65,000-$77,999)"
Hamilton - Broadmeadow,0,0,0,8,3,11,17,22,26,38,27,40,9,30,231,1851.082251,1851,"$1,750-$1,999 ($91,000-$103,999)"
Lambton - New Lambton,0,0,3,3,8,14,16,30,39,40,33,46,14,30,276,1823.097826,1823,"$1,750-$1,999 ($91,000-$103,999)"
Maryland - Fletcher - Minmi,0,0,0,0,0,6,10,21,25,23,26,21,0,0,132,1614.393939,1614,"$1,500-$1,749 ($78,000-$90,999)"
Mayfield - Warabrook,0,7,0,3,8,8,12,42,38,36,38,40,0,8,240,1583.854167,1583,"$1,500-$1,749 ($78,000-$90,999)"
Merewether - The Junction,0,0,0,5,8,8,4,20,28,27,24,59,13,44,240,2033.333333,2033,"$2,000-$2,999 ($104,000-$155,999)"
Newcastle - Cooks Hill,0,4,0,6,0,12,17,25,38,47,41,70,19,42,321,1952.803738,1952,"$1,750-$1,999 ($91,000-$103,999)"
Newcastle Port - Kooragang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shortland - Jesmond,3,3,7,4,8,6,9,10,13,9,11,0,0,0,83,1125.903614,1125,"$1,000-$1,249 ($52,000-$64,999)"
Stockton - Fullerton Cove,0,0,0,0,0,0,8,15,15,20,4,19,0,5,86,1631.686047,1631,"$1,500-$1,749 ($78,000-$90,999)"
Wallsend - Elermore Vale,0,0,4,6,5,15,11,34,33,30,19,34,5,8,204,1547.181373,1547,"$1,500-$1,749 ($78,000-$90,999)"
Waratah - North Lambton,3,0,0,11,5,11,16,17,34,29,20,29,0,8,183,1507.103825,1507,"$1,500-$1,749 ($78,000-$90,999)"
Wickham - Carrington - Tighes Hill,0,3,3,4,3,8,17,23,21,40,25,45,3,6,201,1610.572139,1610,"$1,500-$1,749 ($78,000-$90,999)"
Ballina,0,0,4,3,11,3,16,16,21,17,13,26,4,3,137,1495.620438,1495,"$1,250-$1,499 ($65,000-$77,999)"
Ballina Surrounds,5,6,0,8,16,7,10,24,20,32,23,37,6,12,206,1570.26699,1570,"$1,500-$1,749 ($78,000-$90,999)"
Bangalow,0,0,3,4,4,0,10,4,14,10,11,17,7,15,99,1906.818182,1906,"$1,750-$1,999 ($91,000-$103,999)"
Brunswick Heads - Ocean Shores,0,0,0,0,7,6,14,23,14,6,9,22,3,3,107,1493.925234,1493,"$1,250-$1,499 ($65,000-$77,999)"
Byron Bay,0,3,4,0,8,6,8,16,16,22,20,24,6,19,152,1809.046053,1809,"$1,750-$1,999 ($91,000-$103,999)"
Evans Head,0,0,0,0,0,3,3,7,6,6,3,0,0,0,28,1366.071429,1366,"$1,250-$1,499 ($65,000-$77,999)"
