INCP Professionals Total Personal Income (weekly),"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500 or more ($182,000 or more)",Total,Average,Round Down,Return Val
Albion Park Rail,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,900,900,"$800-$999 ($41,600-$51,999)"
Kiama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiama Downs - Minnamurra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiama Hinterland - Gerringong,0,0,0,0,0,0,0,4,3,0,3,0,0,0,10,1612.5,1612,"$1,500-$1,749 ($78,000-$90,999)"
Shellharbour - Flinders,0,0,0,0,0,3,0,3,4,0,5,0,0,0,15,1570,1570,"$1,500-$1,749 ($78,000-$90,999)"
Shellharbour - Oak Flats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Balgownie - Fairy Meadow,0,0,0,0,0,0,3,7,3,10,0,8,0,5,36,1762.5,1762,"$1,750-$1,999 ($91,000-$103,999)"
Corrimal - Tarrawanna - Bellambi,0,0,0,0,0,0,0,3,4,8,4,0,0,0,19,1677.631579,1677,"$1,500-$1,749 ($78,000-$90,999)"
Figtree - Keiraville,0,6,3,0,0,0,3,3,3,0,11,15,3,0,47,1659.042553,1659,"$1,500-$1,749 ($78,000-$90,999)"
Helensburgh,0,0,0,0,0,0,6,3,0,0,3,5,0,0,17,1508.823529,1508,"$1,500-$1,749 ($78,000-$90,999)"
Thirroul - Austinmer - Coalcliff,3,0,0,0,0,3,0,4,6,3,6,15,0,3,43,1712.790698,1712,"$1,500-$1,749 ($78,000-$90,999)"
Woonona - Bulli - Russell Vale,0,3,0,0,0,0,3,3,0,11,3,17,4,3,47,1861.702128,1861,"$1,750-$1,999 ($91,000-$103,999)"
Wollongong - East,0,3,0,0,9,0,5,8,10,8,12,6,6,3,70,1676.428571,1676,"$1,500-$1,749 ($78,000-$90,999)"
Wollongong - West,0,0,0,0,9,0,3,3,0,6,13,13,0,0,47,1656.914894,1656,"$1,500-$1,749 ($78,000-$90,999)"
Bulahdelah - Stroud,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3500,3500,"$3,500 or more ($182,000 or more)"
Forster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forster-Tuncurry Surrounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuncurry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kempsey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kempsey Surrounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macksville - Scotts Head,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,1875,1875,"$1,750-$1,999 ($91,000-$103,999)"
Nambucca Heads,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nambucca Heads Surrounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South West Rocks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lord Howe Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laurieton - Bonny Hills,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,1875,1875,"$1,750-$1,999 ($91,000-$103,999)"
Port Macquarie - West,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,900,900,"$800-$999 ($41,600-$51,999)"
Port Macquarie Surrounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wauchope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Port Macquarie - East,0,0,0,0,0,0,0,0,0,5,3,0,0,0,8,1953.125,1953,"$1,750-$1,999 ($91,000-$103,999)"
Port Macquarie - South,0,0,0,0,0,0,0,0,3,5,4,0,0,0,12,1854.166667,1854,"$1,750-$1,999 ($91,000-$103,999)"
Gloucester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Old Bar - Manning Point - Red Head,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,1375,1375,"$1,250-$1,499 ($65,000-$77,999)"
Taree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taree Surrounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wingham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albury - East,0,0,0,0,0,0,0,0,0,3,0,7,0,0,10,1800,1800,"$1,750-$1,999 ($91,000-$103,999)"
Albury - North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albury - South,0,0,0,0,0,0,0,0,0,4,4,3,0,0,11,2011.363636,2011,"$2,000-$2,999 ($104,000-$155,999)"
Albury Surrounds,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,1625,1625,"$1,500-$1,749 ($78,000-$90,999)"
Lavington,0,0,0,0,0,0,0,5,4,0,3,0,0,0,12,1552.083333,1552,"$1,500-$1,749 ($78,000-$90,999)"
