INCP Health Professionals Total Personal Income (weekly),"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500 or more ($182,000 or more)",Total,Average,Round Down,Return Val
Cootamundra,0,0,0,0,7,12,15,8,11,11,9,12,3,7,95,1552.368421,1552,"$1,500-$1,749 ($78,000-$90,999)"
Gundagai,0,0,0,0,0,3,4,6,7,4,3,5,0,3,35,1600.714286,1600,"$1,500-$1,749 ($78,000-$90,999)"
Junee,0,0,0,0,3,4,3,7,10,14,10,18,4,4,77,1785.064935,1785,"$1,750-$1,999 ($91,000-$103,999)"
Temora,0,0,0,0,9,14,11,13,18,17,5,11,6,9,113,1560.619469,1560,"$1,500-$1,749 ($78,000-$90,999)"
Wagga Wagga - East,0,0,0,3,11,19,20,51,63,71,66,84,12,65,465,1909.301075,1909,"$1,750-$1,999 ($91,000-$103,999)"
Wagga Wagga - North,0,0,3,0,0,8,15,25,25,35,28,45,5,15,204,1778.676471,1778,"$1,750-$1,999 ($91,000-$103,999)"
Wagga Wagga - South,0,0,5,6,8,33,49,89,83,105,102,120,32,53,685,1797.737226,1797,"$1,750-$1,999 ($91,000-$103,999)"
Wagga Wagga - West,0,0,5,3,8,8,13,40,79,83,55,108,22,52,476,1905.882353,1905,"$1,750-$1,999 ($91,000-$103,999)"
Wagga Wagga Surrounds,0,0,4,8,11,23,36,59,58,56,45,69,13,24,406,1639.53202,1639,"$1,500-$1,749 ($78,000-$90,999)"
Berry - Kangaroo Valley,0,0,0,4,12,13,12,37,28,34,30,36,4,34,244,1798.360656,1798,"$1,750-$1,999 ($91,000-$103,999)"
Callala Bay - Currarong,0,0,0,4,0,4,6,10,8,12,10,9,0,3,66,1579.166667,1579,"$1,500-$1,749 ($78,000-$90,999)"
