INCP Business Total Personal Income (weekly),"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500 or more ($182,000 or more)",Total,Average,Round Down,Return Val
Shellharbour - Oak Flats,0,0,0,4,3,4,14,12,20,29,12,26,5,7,136,1666.544118,1666,"$1,500-$1,749 ($78,000-$90,999)"
Warilla,0,0,0,5,9,13,19,12,26,31,17,31,10,7,180,1617.777778,1617,"$1,500-$1,749 ($78,000-$90,999)"
Balgownie - Fairy Meadow,0,4,4,0,13,17,43,59,67,69,66,115,28,40,525,1796.285714,1796,"$1,750-$1,999 ($91,000-$103,999)"
Corrimal - Tarrawanna - Bellambi,0,0,5,4,7,12,31,37,36,33,44,79,9,33,330,1793.333333,1793,"$1,750-$1,999 ($91,000-$103,999)"
Figtree - Keiraville,0,0,11,7,10,23,44,62,60,76,50,127,28,33,531,1722.033898,1722,"$1,500-$1,749 ($78,000-$90,999)"
Helensburgh,0,0,4,0,6,3,11,21,29,20,28,62,27,50,261,2152.969349,2152,"$2,000-$2,999 ($104,000-$155,999)"
Thirroul - Austinmer - Coalcliff,0,0,0,9,7,11,20,28,45,39,31,89,31,95,405,2144.259259,2144,"$2,000-$2,999 ($104,000-$155,999)"
Woonona - Bulli - Russell Vale,3,7,4,4,14,14,23,55,62,66,66,135,33,54,540,1875.277778,1875,"$1,750-$1,999 ($91,000-$103,999)"
Wollongong - East,0,5,7,11,14,24,38,72,67,76,53,122,24,32,545,1680.825688,1680,"$1,500-$1,749 ($78,000-$90,999)"
Wollongong - West,0,5,5,6,20,13,32,56,51,63,32,79,13,9,384,1543.424479,1543,"$1,500-$1,749 ($78,000-$90,999)"
Bulahdelah - Stroud,0,0,0,0,0,7,4,6,3,10,3,12,3,4,52,1722.115385,1722,"$1,500-$1,749 ($78,000-$90,999)"
Forster,0,0,3,5,13,8,16,18,12,17,13,23,6,11,145,1579.137931,1579,"$1,500-$1,749 ($78,000-$90,999)"
Forster-Tuncurry Surrounds,0,4,0,0,0,6,3,13,8,12,8,20,5,24,103,2046.84466,2046,"$2,000-$2,999 ($104,000-$155,999)"
Tuncurry,0,0,0,0,0,0,10,3,8,10,3,7,0,6,47,1728.723404,1728,"$1,500-$1,749 ($78,000-$90,999)"
Kempsey,0,0,6,0,6,6,9,28,11,11,9,9,5,4,104,1462.740385,1462,"$1,250-$1,499 ($65,000-$77,999)"
Kempsey Surrounds,0,0,0,7,0,5,7,11,18,13,10,25,4,5,105,1654.285714,1654,"$1,500-$1,749 ($78,000-$90,999)"
Macksville - Scotts Head,0,0,4,0,0,0,4,5,4,9,4,9,0,4,43,1665.697674,1665,"$1,500-$1,749 ($78,000-$90,999)"
Nambucca Heads,0,0,0,0,0,3,8,9,11,11,0,5,0,6,53,1563.679245,1563,"$1,500-$1,749 ($78,000-$90,999)"
Nambucca Heads Surrounds,0,0,3,0,4,7,11,11,6,4,8,9,5,9,77,1689.285714,1689,"$1,500-$1,749 ($78,000-$90,999)"
South West Rocks,0,0,0,0,4,4,0,9,8,3,6,9,0,0,43,1466.860465,1466,"$1,250-$1,499 ($65,000-$77,999)"
Lord Howe Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laurieton - Bonny Hills,0,0,0,4,3,10,24,26,17,23,12,42,9,9,179,1630.586592,1630,"$1,500-$1,749 ($78,000-$90,999)"
Port Macquarie - West,0,0,3,7,6,13,27,34,36,29,31,49,9,11,255,1621.078431,1621,"$1,500-$1,749 ($78,000-$90,999)"
Port Macquarie Surrounds,0,0,0,4,6,0,0,5,14,9,4,13,0,0,55,1438.636364,1438,"$1,250-$1,499 ($65,000-$77,999)"
Wauchope,0,0,5,0,0,8,16,15,17,17,20,19,5,8,130,1690,1690,"$1,500-$1,749 ($78,000-$90,999)"
Port Macquarie - East,0,0,3,5,8,3,13,35,24,23,16,51,19,26,226,1857.964602,1857,"$1,750-$1,999 ($91,000-$103,999)"
Port Macquarie - South,0,3,5,3,11,17,21,30,40,44,36,56,18,23,307,1744.543974,1744,"$1,500-$1,749 ($78,000-$90,999)"
Gloucester,0,0,0,0,4,4,4,5,4,9,5,3,0,9,47,1790.957447,1790,"$1,750-$1,999 ($91,000-$103,999)"
Old Bar - Manning Point - Red Head,0,3,0,0,7,3,15,21,18,16,15,33,8,11,150,1724.166667,1724,"$1,500-$1,749 ($78,000-$90,999)"
Taree,0,0,5,4,0,5,7,16,12,26,15,22,10,3,125,1695.8,1695,"$1,500-$1,749 ($78,000-$90,999)"
Taree Surrounds,0,0,3,0,0,5,19,19,17,16,9,21,7,16,132,1766.287879,1766,"$1,750-$1,999 ($91,000-$103,999)"
Wingham,0,0,0,0,0,4,9,0,6,0,6,6,0,0,31,1467.741935,1467,"$1,250-$1,499 ($65,000-$77,999)"
Albury - East,0,3,4,0,17,15,27,67,47,74,43,76,14,19,406,1648.460591,1648,"$1,500-$1,749 ($78,000-$90,999)"
Albury - North,0,0,3,3,9,9,18,25,25,28,22,14,6,4,166,1524.39759,1524,"$1,500-$1,749 ($78,000-$90,999)"
Albury - South,0,4,0,4,3,5,15,28,38,43,27,61,13,16,257,1771.595331,1771,"$1,750-$1,999 ($91,000-$103,999)"
Albury Surrounds,0,6,0,0,7,4,12,17,10,22,10,26,12,3,129,1635.271318,1635,"$1,500-$1,749 ($78,000-$90,999)"
Lavington,0,0,0,3,0,8,20,35,26,14,20,16,6,4,152,1556.085526,1556,"$1,500-$1,749 ($78,000-$90,999)"
Hay,0,0,0,0,4,0,0,0,3,0,0,4,0,0,11,1265.909091,1265,"$1,250-$1,499 ($65,000-$77,999)"
Wentworth - Buronga,0,0,0,0,0,4,3,15,9,11,8,10,0,7,67,1730.970149,1730,"$1,500-$1,749 ($78,000-$90,999)"
Wentworth-Balranald Region,0,0,0,0,0,0,0,0,4,4,0,4,0,0,12,1625,1625,"$1,500-$1,749 ($78,000-$90,999)"
Corowa,0,0,0,0,3,3,6,0,3,9,3,13,4,0,44,1657.386364,1657,"$1,500-$1,749 ($78,000-$90,999)"
Corowa Surrounds,0,0,0,0,3,3,3,11,9,4,6,9,0,0,48,1452.604167,1452,"$1,250-$1,499 ($65,000-$77,999)"
Deniliquin,0,0,0,0,0,8,12,12,21,8,12,17,6,8,104,1743.75,1743,"$1,500-$1,749 ($78,000-$90,999)"
Deniliquin Surrounds,0,0,0,0,0,5,0,13,0,15,6,10,5,8,62,1945.564516,1945,"$1,750-$1,999 ($91,000-$103,999)"
Moama,0,0,0,3,0,7,8,13,13,17,11,17,0,3,92,1561.141304,1561,"$1,500-$1,749 ($78,000-$90,999)"
Tocumwal - Finley - Jerilderie,0,0,3,0,3,10,3,12,10,19,5,12,0,0,77,1374.675325,1374,"$1,250-$1,499 ($65,000-$77,999)"
Armidale,0,0,0,9,10,10,34,60,52,73,47,76,17,31,419,1739.916468,1739,"$1,500-$1,749 ($78,000-$90,999)"
Armidale Surrounds - North,0,0,0,0,5,6,4,0,7,4,5,8,0,4,43,1591.860465,1591,"$1,500-$1,749 ($78,000-$90,999)"
Armidale Surrounds - South,0,0,0,4,0,4,8,9,9,9,9,13,4,0,69,1578.26087,1578,"$1,500-$1,749 ($78,000-$90,999)"
Walcha,0,3,0,0,0,0,5,4,3,0,5,3,0,3,26,1631.730769,1631,"$1,500-$1,749 ($78,000-$90,999)"
Glen Innes,0,0,0,0,0,5,6,10,11,0,5,5,4,3,49,1648.469388,1648,"$1,500-$1,749 ($78,000-$90,999)"
Inverell,0,0,0,0,7,13,11,32,23,13,3,19,0,13,134,1497.947761,1497,"$1,250-$1,499 ($65,000-$77,999)"
Inverell Surrounds - East,0,0,0,0,0,0,3,4,3,0,0,3,0,0,13,1303.846154,1303,"$1,250-$1,499 ($65,000-$77,999)"
Inverell Surrounds - West,0,0,0,0,0,8,5,7,6,5,3,7,0,0,41,1345.731707,1345,"$1,250-$1,499 ($65,000-$77,999)"
Tenterfield,0,0,0,0,7,3,6,4,4,9,3,7,0,0,43,1322.093023,1322,"$1,250-$1,499 ($65,000-$77,999)"
Moree,0,0,0,0,6,3,11,21,16,15,12,29,8,10,131,1762.59542,1762,"$1,750-$1,999 ($91,000-$103,999)"
Moree Surrounds,0,0,0,0,4,5,3,13,3,3,6,9,3,0,49,1507.653061,1507,"$1,500-$1,749 ($78,000-$90,999)"
Narrabri,0,0,0,0,4,4,6,12,13,8,5,13,3,5,73,1631.506849,1631,"$1,500-$1,749 ($78,000-$90,999)"
Narrabri Surrounds,0,0,0,0,3,0,3,5,5,4,6,3,0,0,29,1518.965517,1518,"$1,500-$1,749 ($78,000-$90,999)"
Gunnedah,0,0,4,0,3,5,5,12,13,16,9,19,3,6,95,1657.894737,1657,"$1,500-$1,749 ($78,000-$90,999)"
Gunnedah Surrounds,0,0,0,0,0,0,7,3,0,8,0,3,0,4,25,1692,1692,"$1,500-$1,749 ($78,000-$90,999)"
Quirindi,0,0,0,0,4,4,8,7,9,13,8,12,3,3,71,1641.197183,1641,"$1,500-$1,749 ($78,000-$90,999)"
Tamworth - East,0,0,8,3,4,18,20,60,46,38,33,62,9,5,306,1553.921569,1553,"$1,500-$1,749 ($78,000-$90,999)"
