RAID Rent Affordability Indicator,Households where rent payments are less than or equal to 30% of household income,,,,,,,,,,,,,,,,,,,,,,,,,,,Households where rent payments are more than 30% of household income,,,,,,,,,,,,,,,,,,,,,,,,,,,Unable to be determined,,,,,,,,,,,,,,,,,,,,,,,,,,,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,
RNTRD Rent (weekly) Ranges,$1-$74,$75-$99,$100-$124,$125-$149,$150-$174,$175-$199,$200-$224,$225-$249,$250-$274,$275-$299,$300-$324,$325-$349,$350-$374,$375-$399,$400-$424,$425-$449,$450-$474,$475-$499,$500-$524,$525-$549,$550-$649,$650-$749,$750-$849,$850-$949,$950 and over,Not stated,Not applicable,$1-$74,$75-$99,$100-$124,$125-$149,$150-$174,$175-$199,$200-$224,$225-$249,$250-$274,$275-$299,$300-$324,$325-$349,$350-$374,$375-$399,$400-$424,$425-$449,$450-$474,$475-$499,$500-$524,$525-$549,$550-$649,$650-$749,$750-$849,$850-$949,$950 and over,Not stated,Not applicable,$1-$74,$75-$99,$100-$124,$125-$149,$150-$174,$175-$199,$200-$224,$225-$249,$250-$274,$275-$299,$300-$324,$325-$349,$350-$374,$375-$399,$400-$424,$425-$449,$450-$474,$475-$499,$500-$524,$525-$549,$550-$649,$650-$749,$750-$849,$850-$949,$950 and over,Not stated,Not applicable,$1-$74,$75-$99,$100-$124,$125-$149,$150-$174,$175-$199,$200-$224,$225-$249,$250-$274,$275-$299,$300-$324,$325-$349,$350-$374,$375-$399,$400-$424,$425-$449,$450-$474,$475-$499,$500-$524,$525-$549,$550-$649,$650-$749,$750-$849,$850-$949,$950 and over,Not stated,Not applicable,$1-$74,$75-$99,$100-$124,$125-$149,$150-$174,$175-$199,$200-$224,$225-$249,$250-$274,$275-$299,$300-$324,$325-$349,$350-$374,$375-$399,$400-$424,$425-$449,$450-$474,$475-$499,$500-$524,$525-$549,$550-$649,$650-$749,$750-$849,$850-$949,$950 and over,Not stated,Not applicable
The Range - Allenstown,19,22,38,12,23,17,39,30,71,45,83,43,68,26,27,8,11,3,13,4,9,3,0,0,0,0,0,5,4,8,5,18,4,19,20,38,25,40,13,13,5,9,0,3,3,0,0,0,0,0,0,0,0,0,3,4,3,4,3,0,0,0,8,8,14,0,4,8,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,3,0,0,0,0,4,0,4,0,28,2576,32,28,52,18,47,23,64,55,120,83,138,63,86,38,46,14,21,11,16,4,14,4,0,4,4,91,2576
Yeppoon,18,26,35,12,39,18,45,22,66,44,134,66,129,81,107,53,98,42,52,5,54,12,3,0,0,0,0,0,4,7,9,38,47,40,28,61,36,97,26,71,36,45,27,34,8,20,4,5,3,9,0,0,0,0,0,0,3,0,0,0,9,4,5,0,17,12,16,12,27,9,26,13,16,0,12,3,0,0,0,66,0,5,0,5,0,0,0,9,5,7,10,11,0,0,0,3,0,0,0,0,0,4,3,6,5,14,20,7361,17,30,44,20,78,61,97,56,143,87,255,107,215,125,180,81,154,64,87,12,79,31,11,3,20,81,7361
Banana,49,37,59,21,46,20,68,22,65,21,36,4,22,10,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,3,9,6,19,12,14,3,7,7,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,5,4,8,7,9,3,3,0,4,3,0,0,0,0,0,0,0,0,0,0,0,79,0,5,9,3,0,3,6,8,0,0,0,3,4,3,0,3,0,5,0,0,0,0,3,0,0,0,24,3681,52,48,76,28,66,38,103,41,88,31,45,12,36,18,16,0,8,0,4,0,0,3,0,0,0,107,3681
Biloela,22,31,51,34,31,18,24,16,67,34,65,37,43,24,35,5,10,4,3,0,0,0,0,0,0,0,0,5,3,4,0,7,6,11,12,20,11,15,0,11,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,6,0,4,5,9,9,8,4,0,0,0,0,0,0,0,0,0,0,6,39,0,3,0,3,0,4,3,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1923,32,39,67,33,40,27,44,27,92,42,91,52,63,42,37,11,10,4,5,0,0,0,0,0,3,62,1923
Agnes Water - Miriam Vale,5,9,19,3,6,0,21,7,27,6,25,3,18,7,17,3,11,4,3,0,0,0,0,0,0,0,0,0,0,4,0,5,3,15,3,30,7,17,8,10,7,11,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,24,0,10,5,0,4,0,3,0,7,3,13,12,5,5,0,0,0,4,0,6,0,0,7,9,12,38,36,4027,15,11,25,4,18,16,41,18,63,32,53,12,37,16,32,5,15,3,6,0,10,7,9,12,41,65,4027
Boyne Island - Tannum Sands,12,11,26,15,37,31,67,31,64,41,112,53,97,34,57,15,20,7,8,0,11,3,0,0,0,0,0,0,0,3,13,16,34,30,14,24,26,50,17,38,8,12,0,3,0,4,0,4,0,5,0,0,0,0,0,0,0,0,8,0,0,0,3,5,7,0,12,5,3,5,6,3,0,0,0,0,0,0,0,31,0,7,0,0,0,0,0,5,0,0,5,4,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,3231,13,13,38,20,57,64,99,46,101,79,177,74,137,49,74,19,28,10,19,0,14,3,3,0,0,33,3231
Callemondah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
Clinton - New Auckland,24,20,46,41,57,75,97,54,92,99,172,80,143,85,95,43,22,8,8,0,6,0,0,0,0,0,0,3,0,14,3,20,66,73,30,50,66,64,25,47,24,26,11,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,5,7,10,9,17,5,17,13,13,14,16,9,9,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,4,4,5,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,3773,28,17,64,46,80,158,181,89,158,170,256,113,205,126,137,65,26,7,10,0,6,4,0,0,0,70,3773
Gladstone,33,24,66,33,86,80,101,43,113,83,103,41,39,16,7,3,7,0,6,0,13,6,0,0,0,0,0,5,3,10,8,49,53,79,41,48,44,40,5,9,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,3,17,8,3,5,4,0,0,0,4,0,0,0,3,0,0,0,0,45,0,0,0,0,4,8,0,5,0,0,9,9,6,0,0,3,0,5,0,4,0,0,0,0,0,10,31,2265,43,25,85,51,147,139,185,87,181,138,153,46,57,23,19,3,18,4,13,0,15,3,0,0,7,83,2265
Gladstone Hinterland,12,8,15,12,27,17,44,18,42,35,81,27,47,17,23,0,8,4,7,0,0,0,0,0,0,0,0,0,0,0,5,7,12,18,11,29,25,21,12,20,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,4,7,5,11,11,12,0,4,0,0,0,0,0,0,0,0,0,0,42,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3865,19,8,17,20,30,26,66,31,78,64,114,48,79,23,35,4,8,4,8,0,4,0,0,0,0,57,3865
Kin Kora - Sun Valley,0,0,7,9,13,9,29,18,40,16,27,10,17,11,6,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,13,5,18,19,20,7,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1177,0,0,11,9,17,15,44,24,67,36,53,20,26,10,18,8,6,0,0,0,0,0,0,0,0,6,1177
South Trees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Telina - Toolooa,7,3,22,14,12,21,27,16,64,57,77,56,69,37,29,6,6,0,8,4,4,0,0,0,0,0,0,4,0,5,5,4,4,7,8,30,25,19,17,20,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,4,15,6,7,3,4,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1750,11,8,30,14,21,29,38,32,103,86,108,73,99,43,38,3,13,0,9,4,5,5,0,0,0,23,1750
West Gladstone,9,12,46,23,45,40,95,40,91,49,58,10,29,5,15,0,5,3,0,0,0,0,0,0,0,0,0,9,4,8,11,29,35,39,20,44,16,21,4,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,3,7,0,9,0,5,5,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,10,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1603,18,15,62,31,83,80,145,60,143,78,91,18,35,5,13,0,3,5,3,0,0,3,0,0,0,51,1603
Broadbeach Waters,0,0,3,0,3,4,5,0,4,0,7,5,15,8,28,9,8,10,23,12,57,43,26,23,40,0,0,0,0,0,0,0,3,4,0,6,0,8,9,6,15,12,5,8,7,15,7,49,33,23,13,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,4,8,13,7,0,14,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2904,0,0,3,0,7,3,10,5,5,4,9,12,19,24,47,22,14,16,39,18,120,89,53,42,100,30,2904
Burleigh Heads,6,5,21,0,11,13,11,10,16,3,14,10,30,25,57,22,61,42,72,24,110,62,21,11,13,0,0,0,4,6,0,15,7,8,3,15,9,20,7,23,17,44,33,55,42,48,10,82,33,25,7,10,0,0,0,0,0,0,0,0,0,0,3,0,4,0,7,0,4,0,7,6,4,3,13,11,8,3,4,38,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,5,10,6,3,19,6,3957,6,11,28,4,22,19,26,17,28,14,39,17,57,46,113,55,126,85,133,41,206,113,60,24,46,47,3957
Burleigh Waters,3,4,14,12,6,7,9,4,3,3,8,8,12,10,35,21,74,23,35,16,105,53,31,20,17,0,0,0,0,5,4,3,7,5,0,8,0,7,17,15,12,34,39,62,20,39,7,68,37,22,16,26,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,4,7,8,0,0,3,16,12,0,6,4,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4718,3,4,19,10,10,11,16,13,12,5,15,26,31,28,71,66,133,41,75,28,185,101,55,39,48,42,4718
Mermaid Beach - Broadbeach,6,0,3,4,8,3,21,8,30,13,41,49,116,113,171,105,150,87,111,46,168,93,53,27,47,0,0,0,0,5,0,10,5,10,4,23,16,46,79,152,97,182,80,105,46,75,17,108,90,39,21,39,0,0,0,0,0,0,0,0,0,4,0,3,9,0,9,12,16,14,14,7,9,0,18,11,11,6,7,84,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,4,4,9,0,5,9,8,6,24,24,7190,6,5,12,3,15,14,34,16,51,29,97,130,281,224,377,197,273,143,203,62,305,210,118,59,115,107,7190
Mermaid Waters,4,0,11,3,5,4,9,3,10,4,27,17,50,52,72,48,57,32,39,20,75,50,47,37,33,0,0,0,0,6,0,5,3,9,3,12,21,31,28,64,43,65,47,44,20,29,10,63,45,40,26,32,0,0,0,0,0,0,0,0,6,0,3,0,4,4,9,5,6,0,10,3,0,0,17,13,8,8,9,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4220,4,5,19,3,15,11,16,5,29,29,52,48,117,97,144,96,107,53,72,25,157,107,93,65,72,39,4220
Miami,12,8,47,10,10,7,9,4,10,5,9,15,20,32,47,24,65,39,53,32,92,65,25,19,12,0,0,0,5,6,0,6,5,5,4,9,13,10,14,44,18,44,21,44,15,22,9,69,33,19,7,9,0,0,0,0,3,4,0,6,0,0,0,0,0,0,0,0,3,4,4,6,3,4,14,4,4,7,3,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,6,0,2634,6,16,54,16,14,14,21,5,20,11,22,26,59,52,97,52,109,62,89,44,172,100,49,37,34,34,2634
Coolangatta,8,5,45,6,9,0,13,3,5,10,24,26,45,43,67,38,51,30,27,5,53,28,11,3,3,0,0,0,0,7,0,5,0,10,4,16,19,39,22,60,46,61,21,50,26,39,9,44,31,10,0,14,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,3,3,0,8,5,4,0,5,3,0,0,0,38,0,4,0,0,0,0,0,0,0,0,3,0,0,3,3,9,0,5,0,0,0,4,3,9,5,19,27,3291,15,12,55,13,10,0,24,8,26,33,70,53,113,96,139,59,116,65,78,16,102,66,29,9,42,61,3291
Currumbin - Tugun,9,3,19,8,14,11,13,7,17,12,25,17,48,39,68,37,73,52,75,19,106,50,29,16,17,0,0,0,0,0,3,4,9,15,11,24,19,33,25,48,34,80,35,63,43,45,20,85,35,24,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,8,4,4,10,10,3,32,13,5,3,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,8,5,9,0,3,7,4570,9,5,17,15,18,15,23,22,39,31,64,49,104,68,155,79,137,97,139,48,231,107,62,26,31,56,4570
Currumbin Waters,8,12,26,13,11,10,16,0,11,4,9,0,8,0,20,7,17,19,21,20,57,28,11,7,4,0,0,0,0,6,0,0,0,12,5,7,10,9,0,14,14,24,15,36,25,26,10,53,26,14,3,7,0,0,0,0,0,0,4,0,7,0,0,4,0,0,0,0,0,5,4,4,4,4,4,6,3,0,3,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3042,8,14,31,23,22,19,31,7,22,17,16,3,27,18,46,29,61,48,51,25,115,61,27,13,11,43,3042
Elanora,7,0,13,0,11,7,5,0,13,5,14,0,11,14,24,11,19,9,21,16,93,38,19,7,6,0,0,0,0,0,0,5,4,4,0,9,0,5,0,11,16,42,30,22,5,10,12,67,40,17,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,6,15,8,6,3,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4007,5,0,16,4,17,10,12,3,14,8,16,3,20,22,63,41,45,15,33,30,177,88,39,18,5,31,4007
Palm Beach,10,24,76,14,16,9,23,8,35,8,34,29,52,70,117,62,116,64,69,36,125,95,60,32,33,0,0,0,5,19,10,13,14,19,8,46,32,55,47,80,70,102,39,89,40,58,17,95,79,41,18,26,0,0,0,0,4,4,0,0,0,3,3,0,5,7,3,8,8,4,10,9,12,5,23,13,18,8,4,70,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,0,6,0,0,5,3,4,3,7,11,5859,18,28,101,24,26,27,48,21,83,44,95,83,132,154,224,110,217,107,141,54,254,190,120,62,66,79,5859
Arundel,3,4,6,4,11,5,14,11,4,0,3,5,15,22,77,42,37,37,39,37,113,37,24,0,4,0,0,0,0,0,0,11,6,17,12,4,10,12,0,17,17,67,43,43,12,36,21,70,30,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,7,8,4,8,4,11,9,6,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3176,3,4,5,11,19,14,37,19,4,10,20,3,29,41,154,93,92,58,86,64,203,74,26,8,6,35,3176
Biggera Waters,11,14,36,9,7,10,6,9,17,10,29,27,57,75,103,67,107,69,65,15,108,43,12,4,3,0,0,0,0,3,0,0,10,7,13,15,15,66,56,75,96,104,59,119,77,65,19,80,29,13,3,11,0,0,0,0,3,0,0,0,0,0,0,0,4,3,7,8,17,6,11,7,3,4,18,8,0,0,3,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,3,5,3029,8,15,38,14,12,16,17,17,31,22,100,77,140,181,229,139,241,156,129,37,210,84,22,10,24,57,3029
Coombabah,4,3,11,12,7,13,9,0,4,3,11,10,43,43,71,57,72,47,19,15,40,10,6,0,0,0,0,0,0,0,0,4,9,10,0,6,9,24,33,116,67,115,56,67,34,39,0,39,12,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,12,12,3,8,0,9,6,6,0,0,6,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3738,4,3,10,11,17,31,21,7,15,11,38,54,167,128,195,124,153,81,67,20,88,24,10,4,3,25,3738
Labrador,20,50,139,40,40,17,28,22,23,28,100,96,163,138,207,88,127,65,68,48,111,31,6,0,0,0,0,6,10,27,28,39,33,39,22,61,71,193,132,257,194,213,92,106,52,54,21,97,36,8,4,4,0,0,0,0,12,0,10,0,7,3,5,3,9,12,7,18,29,7,18,7,15,0,18,0,4,0,0,136,0,0,0,0,0,0,0,3,0,3,0,0,0,0,4,4,0,3,0,0,0,0,3,0,4,3,10,5647,28,60,186,64,82,54,86,47,88,99,301,242,429,350,459,196,252,119,132,65,222,69,19,7,12,146,5647
Paradise Point - Hollywell,6,11,19,3,3,0,10,5,3,10,13,8,30,17,35,16,22,15,27,15,61,45,35,14,14,0,0,0,3,3,0,0,0,5,9,10,8,29,28,41,27,40,13,28,17,14,4,62,34,27,6,31,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,11,5,5,6,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3873,5,15,19,3,8,7,14,6,15,21,43,40,80,49,84,32,51,34,47,18,137,90,67,21,50,45,3873
Runaway Bay,3,3,19,0,0,0,5,0,3,3,18,8,25,26,44,21,30,18,20,12,47,31,15,15,10,0,0,0,0,4,0,0,6,4,3,0,0,31,40,52,42,58,37,32,22,31,7,48,35,20,12,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,0,0,9,0,8,9,0,0,6,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3682,6,9,22,4,6,6,8,8,8,7,52,45,83,75,114,50,66,40,60,21,96,73,32,27,33,35,3682
Guanaba - Springbrook,0,0,3,0,6,0,8,3,10,0,4,3,3,0,6,4,10,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,4,3,13,5,7,0,3,0,3,0,9,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1621,3,0,5,0,6,7,15,3,15,0,10,8,19,9,18,5,13,4,14,0,14,9,3,3,0,15,1621
Tamborine - Canungra,11,0,8,0,9,5,11,0,17,9,28,14,14,30,30,17,31,18,29,9,43,15,4,0,0,0,0,0,0,0,0,0,3,5,0,13,10,21,16,26,21,29,22,27,19,16,3,35,13,6,4,3,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,5,6,4,5,0,3,3,6,0,0,0,3,38,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,13,5604,7,0,8,4,9,3,18,4,38,15,53,36,46,49,66,35,62,37,50,17,88,27,13,4,9,48,5604
Currumbin Valley - Tallebudgera,0,0,0,7,9,0,3,0,5,9,6,0,0,3,8,0,0,0,3,7,17,11,8,6,0,0,0,0,0,0,0,0,0,5,0,0,4,3,6,7,0,4,3,0,7,3,0,13,9,11,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2239,0,0,4,8,7,7,8,5,4,4,13,3,12,6,14,3,4,5,10,9,35,27,21,13,14,16,2239
Mudgeeraba - Bonogin,8,9,13,8,15,5,21,6,15,6,13,0,15,12,39,25,56,29,48,41,160,54,22,4,7,0,0,0,0,0,5,8,5,9,4,4,0,6,4,18,16,42,34,48,25,37,22,122,34,11,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3,0,9,3,7,5,17,7,4,4,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5512,13,7,12,10,22,13,32,12,26,3,22,9,35,28,89,59,111,55,96,62,309,95,36,22,23,41,5512
Reedy Creek - Andrews,0,0,0,4,0,0,4,4,4,0,9,0,7,12,51,18,27,14,10,4,47,26,19,14,4,0,0,0,0,0,0,0,0,0,5,4,0,8,8,17,12,37,11,21,0,13,4,28,16,9,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,3,7,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2449,0,0,0,8,3,5,3,5,3,0,12,3,23,26,95,33,48,16,22,9,84,46,32,22,8,23,2449
Carrara,7,3,3,3,3,10,23,7,17,7,27,21,25,32,51,36,32,60,71,21,101,36,20,6,7,0,0,0,0,0,5,5,6,41,4,17,34,57,32,43,31,55,37,39,40,46,25,96,34,13,5,13,0,0,0,0,0,0,0,0,5,0,0,0,7,3,4,3,8,5,7,3,12,3,11,11,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4215,7,4,6,8,15,16,71,10,29,47,95,58,74,65,106,81,81,100,131,44,218,84,37,9,12,47,4215
Highland Park,4,0,13,3,7,11,6,6,4,6,7,7,18,13,26,12,19,12,24,8,35,8,5,3,0,0,0,0,0,5,3,0,4,0,0,3,0,10,7,16,21,25,13,22,11,23,0,23,8,9,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,4,5,0,3,4,6,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2661,7,0,16,11,14,14,5,6,14,5,20,13,39,31,54,25,42,21,40,10,65,18,13,3,4,24,2661
Nerang - Mount Nathan,19,20,80,25,29,22,25,17,24,14,52,35,69,53,136,88,102,50,62,19,75,27,5,3,5,0,0,3,3,18,10,24,22,71,19,42,18,57,49,76,57,117,66,75,31,46,8,51,14,12,4,11,0,0,0,0,4,0,0,0,8,0,0,3,4,5,10,8,15,9,5,8,8,3,17,0,0,4,0,90,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6330,28,31,103,39,61,45,99,38,65,31,109,94,149,117,268,162,181,87,121,43,145,43,18,10,15,96,6330
Pacific Pines - Gaven,3,0,0,0,0,4,6,0,11,3,13,23,17,14,159,75,140,115,105,51,125,37,15,5,5,0,0,0,0,0,0,0,0,3,0,5,0,13,25,17,16,127,73,83,68,61,32,64,25,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,15,12,17,12,15,7,20,8,3,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4328,3,0,0,3,0,4,5,0,21,9,21,48,35,31,305,166,243,191,184,92,208,70,24,8,6,57,4328
Worongary - Tallai,0,0,3,3,4,3,5,3,0,0,6,0,3,3,5,0,3,0,12,0,17,20,11,3,4,0,0,0,0,0,0,0,0,3,0,5,5,5,0,3,0,6,3,4,3,5,0,16,11,7,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2466,0,0,6,3,10,3,6,3,10,4,16,9,8,3,13,9,10,10,18,0,29,36,24,9,18,25,2466
Coomera,4,0,5,3,4,4,6,8,4,0,25,19,80,129,253,212,405,204,197,59,148,28,18,4,11,0,0,0,0,0,0,0,3,4,0,3,4,34,30,91,119,186,125,227,88,91,27,97,14,18,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,32,26,35,25,32,4,26,7,5,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,0,3,0,0,0,0,0,3,8,3590,4,0,12,10,4,11,13,6,10,0,58,50,177,266,469,363,673,319,327,92,267,58,37,12,24,89,3590
Helensvale,0,5,12,10,4,4,3,0,8,0,15,10,22,25,43,45,51,47,62,19,88,64,46,27,33,0,0,0,0,0,5,4,5,0,3,13,8,12,18,32,33,42,27,34,22,36,12,51,42,22,5,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,3,3,3,19,12,4,3,3,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,5689,3,6,7,16,8,4,9,4,19,7,27,23,53,61,94,70,92,73,102,34,151,121,69,35,79,41,5689
Hope Island,0,0,0,0,5,0,4,4,8,8,7,0,0,10,28,32,64,46,86,40,185,52,32,36,52,0,0,0,0,0,0,4,0,6,4,9,7,17,0,16,14,37,26,59,34,74,43,144,60,48,27,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,4,7,33,6,8,4,12,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3,0,10,3,5300,0,0,0,3,6,6,8,6,11,14,27,6,21,28,65,58,130,90,165,94,364,124,92,66,150,50,5300
Jacobs Well - Alberton,7,0,7,0,5,3,13,0,6,0,4,9,8,11,14,9,8,10,14,0,11,3,4,6,3,0,0,0,0,0,0,0,0,7,4,8,8,3,0,9,4,10,8,7,3,15,0,6,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1535,7,0,7,4,9,3,18,0,14,10,16,11,16,12,28,11,13,19,28,6,14,8,10,4,12,20,1535
Oxenford - Maudsland,5,5,8,8,5,4,16,0,14,0,14,34,34,25,47,58,76,48,69,27,88,25,8,0,0,0,0,0,0,0,4,0,6,4,6,10,7,32,42,60,34,57,40,49,32,52,13,46,13,7,5,4,0,0,0,0,0,0,5,0,0,0,5,0,3,3,5,4,0,5,7,7,14,0,13,4,0,0,3,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5022,8,3,11,6,13,7,27,8,25,12,55,74,105,61,104,108,132,84,130,45,142,37,23,0,8,50,5022
