RAID Rent Affordability Indicator,Households where rent payments are less than or equal to 30% of household income,,,,,,,,,,,,,,,,,,,,,,,,,,,Households where rent payments are more than 30% of household income,,,,,,,,,,,,,,,,,,,,,,,,,,,Unable to be determined,,,,,,,,,,,,,,,,,,,,,,,,,,,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,
RNTRD Rent (weekly) Ranges,$1-$74,$75-$99,$100-$124,$125-$149,$150-$174,$175-$199,$200-$224,$225-$249,$250-$274,$275-$299,$300-$324,$325-$349,$350-$374,$375-$399,$400-$424,$425-$449,$450-$474,$475-$499,$500-$524,$525-$549,$550-$649,$650-$749,$750-$849,$850-$949,$950 and over,Not stated,Not applicable,$1-$74,$75-$99,$100-$124,$125-$149,$150-$174,$175-$199,$200-$224,$225-$249,$250-$274,$275-$299,$300-$324,$325-$349,$350-$374,$375-$399,$400-$424,$425-$449,$450-$474,$475-$499,$500-$524,$525-$549,$550-$649,$650-$749,$750-$849,$850-$949,$950 and over,Not stated,Not applicable,$1-$74,$75-$99,$100-$124,$125-$149,$150-$174,$175-$199,$200-$224,$225-$249,$250-$274,$275-$299,$300-$324,$325-$349,$350-$374,$375-$399,$400-$424,$425-$449,$450-$474,$475-$499,$500-$524,$525-$549,$550-$649,$650-$749,$750-$849,$850-$949,$950 and over,Not stated,Not applicable,$1-$74,$75-$99,$100-$124,$125-$149,$150-$174,$175-$199,$200-$224,$225-$249,$250-$274,$275-$299,$300-$324,$325-$349,$350-$374,$375-$399,$400-$424,$425-$449,$450-$474,$475-$499,$500-$524,$525-$549,$550-$649,$650-$749,$750-$849,$850-$949,$950 and over,Not stated,Not applicable,$1-$74,$75-$99,$100-$124,$125-$149,$150-$174,$175-$199,$200-$224,$225-$249,$250-$274,$275-$299,$300-$324,$325-$349,$350-$374,$375-$399,$400-$424,$425-$449,$450-$474,$475-$499,$500-$524,$525-$549,$550-$649,$650-$749,$750-$849,$850-$949,$950 and over,Not stated,Not applicable
Moruya - Tuross Head,6,0,24,8,18,12,22,13,17,8,40,17,45,24,32,0,17,0,3,3,7,0,0,0,0,0,0,0,0,4,4,14,16,18,15,20,22,39,21,36,13,20,8,11,0,11,0,4,0,0,0,0,0,0,3,0,3,3,0,4,5,0,3,7,0,3,6,0,4,0,0,0,0,0,4,0,0,0,0,34,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,13,4289,8,0,29,13,36,35,42,22,44,37,78,42,86,45,55,12,27,3,15,3,16,0,0,0,3,45,4289
Narooma - Bermagui,4,3,35,7,25,12,31,22,35,16,35,23,36,26,29,11,20,4,4,0,7,0,0,0,0,0,0,0,3,6,3,12,21,41,23,57,29,20,28,44,29,20,4,15,3,7,0,4,4,3,0,5,0,0,0,0,4,0,0,3,7,0,0,5,4,0,8,10,3,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,16,17,5134,3,8,55,17,35,35,77,51,89,49,70,51,81,54,59,14,32,11,18,3,14,4,4,0,19,50,5134
Goulburn,15,30,130,45,66,46,93,61,118,81,234,119,236,159,148,66,87,14,32,3,14,0,0,0,0,0,0,3,14,39,19,43,98,55,49,77,86,146,82,137,67,71,27,26,10,13,6,14,3,3,0,3,0,0,0,3,15,3,8,10,6,3,5,6,19,10,26,10,15,9,8,3,3,0,3,0,0,0,0,115,0,0,0,4,0,0,0,0,0,0,0,10,0,5,0,3,0,0,0,0,0,0,0,0,0,0,13,7717,19,46,187,73,117,152,156,116,205,175,403,220,401,237,237,97,119,33,60,10,32,9,3,6,10,133,7717
Goulburn Surrounds,6,9,25,8,26,10,31,15,34,17,49,15,24,17,31,9,16,4,9,0,14,3,0,0,0,0,0,0,0,6,6,10,11,15,9,25,5,27,8,16,5,10,3,4,0,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6577,10,9,28,14,33,16,52,26,64,21,79,22,41,28,41,12,26,8,22,0,10,13,4,0,0,61,6577
Yass,7,3,24,8,11,10,13,9,18,18,45,27,30,40,35,3,29,10,7,0,8,4,0,0,0,0,0,0,0,6,0,0,11,7,3,3,14,19,13,22,18,18,9,9,0,3,0,3,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,7,0,0,3,4,0,0,0,4,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,3,0,0,5,0,0,0,4,6,0,0,0,4,0,3,6,0,0,0,20,2266,7,5,31,12,13,27,27,17,30,38,67,44,63,66,55,12,38,13,15,6,12,7,3,0,0,42,2266
Yass Surrounds,0,4,8,3,15,10,9,5,17,15,24,5,13,3,17,8,15,6,10,5,29,20,5,6,4,0,0,0,0,0,0,5,6,6,3,0,6,4,4,10,0,0,0,3,4,8,0,11,4,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,43,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4497,7,4,13,4,20,15,19,6,20,16,35,8,24,9,24,13,24,6,20,7,43,29,11,6,10,45,4497
Young,14,10,28,11,39,37,73,62,128,69,80,30,40,16,6,0,6,0,3,0,0,0,0,0,0,0,0,0,4,5,3,31,36,51,69,66,38,43,13,18,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,11,12,7,4,5,7,4,0,3,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,6,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3702,14,11,36,16,74,83,145,146,210,120,132,50,69,28,14,4,7,0,6,0,0,0,0,3,0,59,3702
Young Surrounds,18,7,21,13,33,16,46,21,33,17,33,5,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,22,19,9,25,14,10,6,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,6,6,10,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,4,0,0,0,4,0,3,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,3490,18,9,27,13,42,41,72,33,66,28,52,17,13,8,7,0,0,0,3,0,0,5,0,0,4,52,3490
Avoca Beach - Copacabana,0,0,0,0,0,0,4,4,6,0,13,7,10,10,18,4,12,17,21,14,57,27,26,16,9,0,0,0,0,0,0,0,0,0,0,0,6,7,0,10,11,21,12,11,0,19,7,29,14,12,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,3,13,4,4,4,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3161,0,0,0,0,4,3,3,7,7,9,24,8,20,17,38,18,28,20,44,18,89,41,42,26,16,11,3161
Box Head - MacMasters Beach,4,0,4,4,0,4,13,7,10,3,11,3,12,12,26,8,15,9,17,7,39,25,10,8,5,0,0,0,0,0,0,0,5,10,6,14,8,9,8,8,9,17,9,14,6,9,3,27,4,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,6,3,0,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4990,4,0,6,3,0,10,26,14,19,11,25,16,25,20,48,22,30,19,30,15,71,32,22,16,15,22,4990
